Orden de dibujo	Capa	Estilo
1	argenmap:ne_10m_bathymetry_l_0	batimetria_0_argenmap
2	argenmap:ne_10m_bathymetry_k_200	batimetria_200_argenmap
3	argenmap:ne_10m_bathymetry_j_1000	batimetria_1000_argenmap
4	argenmap:ne_10m_bathymetry_i_2000	batimetria_2000_argenmap
5	argenmap:ne_10m_bathymetry_h_3000	batimetria_3000_argenmap
6	argenmap:ne_10m_bathymetry_g_4000	batimetria_4000_argenmap
7	argenmap:ne_10m_bathymetry_f_5000	batimetria_5000_argenmap
8	argenmap:ne_10m_bathymetry_e_6000	batimetria_6000_argenmap
9	argenmap:ne_10m_bathymetry_d_7000	batimetria_7000_argenmap
10	argenmap:ne_10m_bathymetry_c_8000	batimetria_8000_argenmap
11	argenmap:ne_10m_bathymetry_b_9000	batimetria_9000_argenmap
12	argenmap:ne_10m_bathymetry_a_10000	batimetria_10000_argenmap
13	argenmap:pais	paises_geometria_argenmap
14	argenmap:areas_de_asentamientos_y_edificios	area_asentamiento_argenmap
15	argenmap:areas_de_aguas_continentales	areas_aguascontinentales_argenmap
16	argenmap:osm_plazas	plaza_osm_argenmap
17	argenmap:areas_de_zona_costera	isla_argenmap
18	argenmap:lineas_de_aguas_continentales	lineas_aguas_continentales_argenmap
19	argenmap:areas_de_aguas_continentales	embalse_espejo_agua_argenmap
20	argenmap:area_protegida	area_protegida_argenmap
21	argenmap:salares	area_geomorfologia_argenmap
22	argenmap:lineas_de_glaciologia	lineas_glaciologia_argenmap
23	argenmap:vial	vial_rp_terciario_ign_revestimiento_argenmap
24	argenmap:red_vial_provincial	vial_dnv_lineal_provincia_argenmap
25	argenmap:red_vial_nacional	vial_dnv_lineal_argenmap
26	argenmap:osm_vial	osm_vial_argenmap
27	argenmap:lineas_de_transporte_ferroviario	linea_transporte_ferroviario_argenmap
28	argenmap:lineas_de_geomorfologia	linea_geomorfologia_argenmap
29	argenmap:puntos_de_geomorfologia	cerro_argenmap
30	argenmap:plataforma_continental	plataforma_argenmap
31	argenmap:areas_de_glaciologia	areas_glaciologia_argenmap
32	argenmap:toponimos_oceano_maritimo	toponimos_oceanos_argenmap
33	argenmap:linea_de_limite	linea_limite_argenmap
34	argenmap:puntos_de_asentamientos_y_edificios	puntos_localidades_argenmap
35	argenmap:departamento	departamentos_etiquetas_argenmap
36	argenmap:etiquetas_provincias	provincias_etiquetas_argenmap
37	argenmap:etiquetas_paises	etiquetas_paises_argenmap
38	argenmap:provincia	provincia_poligon_argenmap
39	argenmap:glaciares	glaciares_argenmap
