Orden de dibujo	Estilo por defecto	Estilo
1	argenmap:provincia	provincia_poligon_mb_hibrido
2	argenmap:etiquetas_provincias	provincia_etiquetas_mb_hibrido
3	argenmap:toponimos_oceano_maritimo	toponimos_oceanos_mb_hibrido
4	argenmap:red_vial_nacional	vial_dnv_lineal_mb_hibrido
5	argenmap:red_vial_provincial	vial_dnv_lineal_provincia_mb_hibrido
6	argenmap:puntos_de_asentamientos_y_edificios	puntos_localidades_mb_hibrido
7	argenmap:osm_vial	osm_vial_mb_hibrido
8	argenmap:areas_de_aguas_continentales	areas_aguascontinentales_mb_hibrido
9	argenmap:lineas_de_aguas_continentales	lineas_aguas_continentales_mb_hibrido
10	argenmap:area_protegida	area_protegida_mb_hibrido
11	argenmap:areas_de_zona_costera	isla_mb_hibrido
12	argenmap:linea_de_limite	linea_limite_mb_hibrido
13	argenmap:glaciares	glaciares_mb_hibrido
14	argenmap:puntos_de_geomorfologia	cerro_mb_hibrido
