Orden de dibujo	capa	Estilo
1	argenmap:ne_10m_bathymetry_l_0	batimetria_gris_0
2	argenmap:ne_10m_bathymetry_k_200	batimetria_gris_200
3	argenmap:ne_10m_bathymetry_j_1000	batimetria_gris_1000
4	argenmap:ne_10m_bathymetry_i_2000	batimetria_gris_2000
5	argenmap:ne_10m_bathymetry_h_3000	batimetria_gris_3000
6	argenmap:ne_10m_bathymetry_g_4000	batimetria_gris_4000
7	argenmap:ne_10m_bathymetry_f_5000	batimetria_gris_5000
8	argenmap:ne_10m_bathymetry_e_6000	batimetria_gris_6000
9	argenmap:ne_10m_bathymetry_d_7000	batimetria_gris_7000
10	argenmap:ne_10m_bathymetry_c_8000	batimetria_gris_8000
11	argenmap:ne_10m_bathymetry_b_9000	batimetria_gris_9000
12	argenmap:ne_10m_bathymetry_a_10000	batimetria_gris_10000
13	argenmap:pais	paises_gris
14	argenmap:areas_de_asentamientos_y_edificios	area_asentamiento_gris
15	argenmap:osm_plazas	plaza_osm_gris
16	argenmap:areas_de_aguas_continentales	areas_aguascontinentales_gris
17	argenmap:areas_de_zona_costera	isla_gris
18	argenmap:lineas_de_aguas_continentales	lineas_aguascontinentales_gris
19	argenmap:areas_de_aguas_continentales	embalse_espejo_agua_gris
20	argenmap:areas_de_glaciologia	barrera_hielo_gris
21	argenmap:vial	vial_capabase_gris
22	argenmap:red_vial_provincial	vial_capabase_provincial_gris
23	argenmap:red_vial_nacional	vial_dnv_capabase_gris
24	argenmap:osm_vial	osm_vial_gris
25	argenmap:lineas_de_transporte_ferroviario	linea_ferroviaria_gris
26	argenmap:plataforma_continental	plataforma_gris
27	argenmap:toponimos_oceano_maritimo	toponimos_oceanos_capa_base_gris
28	argenmap:linea_de_limite	limites_gris
29	argenmap:etiquetas_paises	etiquetas_paises_gris
30	argenmap:departamento	departamento_etiqueta_gris
31	argenmap:puntos_de_asentamientos_y_edificios	puntos_localidades_gris
32	argenmap:etiquetas_provincias	provincias_etiquetas_gris
