Orden de dibujo	Estilo por defecto	Estilo
1	argenmap:topoar_zoomalto	
2	argenmap:topoar_zoombajo	
3	argenmap:islas_del_sur	
4	argenmap:ne_10m_bathymetry_l_0	batimetria_0_capa_base
5	argenmap:ne_10m_bathymetry_k_200	batimetria_200_capa_base
6	argenmap:ne_10m_bathymetry_j_1000	batimetria_1000_capa_base
7	argenmap:ne_10m_bathymetry_i_2000	batimetria_2000_capa_base
8	argenmap:ne_10m_bathymetry_h_3000	batimetria_3000_capa_base
9	argenmap:ne_10m_bathymetry_g_4000	batimetria_4000_capa_base
10	argenmap:ne_10m_bathymetry_f_5000	batimetria_5000_capa_base
11	argenmap:ne_10m_bathymetry_e_6000	batimetria_6000_capa_base
12	argenmap:ne_10m_bathymetry_d_7000	batimetria_7000_capa_base
13	argenmap:ne_10m_bathymetry_c_8000	batimetria_8000_capa_base
14	argenmap:ne_10m_bathymetry_b_9000	batimetria_9000_capa_base
15	argenmap:ne_10m_bathymetry_a_10000	batimetria_10000_capa_base
16	argenmap:pais	paises_topo
17	argenmap:salares	salares_topo
18	argenmap:areas_de_glaciologia	areas_glaciologia_topo
19	argenmap:lineas_de_glaciologia	lineas_glaciologia_topo
20	argenmap:curvas_de_nivel_2019	curvas_de_nivel_topo
21	argenmap:areas_de_asentamientos_y_edificios	area_asentamiento_topo
22	argenmap:areas_de_aguas_continentales	areas_aguascontinentales_topo
23	argenmap:lineas_de_aguas_continentales	lineas_aguascontinentales_topo
24	argenmap:areas_de_zona_costera	isla_topo
25	argenmap:linea_de_limite	linea_limite_topo
26	argenmap:areas_de_aguas_continentales	embalse_espejo_agua_topo
27	argenmap:red_vial_provincial	vial_dnv_lineal_provincia_topo
28	argenmap:red_vial_nacional	vial_dnv_lineal_topo
29	argenmap:osm_vial	osm_vial_topo
30	argenmap:puntos_de_geomorfologia	puntos_de_geomorfologia_topo
31	argenmap:puntos_de_asentamientos_y_edificios	puntos_de_asentamientos_y_edificios_topo
32	argenmap:departamento	departamentos_etiquetas_topo
33	argenmap:toponimos_oceano_maritimo	toponimos_oceanos_topo
